step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
121,30.250000,3,3.228768e-10,1.266272e-16,1.021733e-20,-2.316966e-12
122,30.500000,3,3.218616e-10,1.432868e-16,-1.658332e-20,2.880460e-12
123,30.750000,3,3.208558e-10,1.232917e-16,9.396772e-22,5.030532e-12
124,31.000000,3,3.198610e-10,1.137995e-16,1.520689e-20,-7.401441e-13
125,31.250000,3,3.188774e-10,1.138097e-16,-7.193163e-21,-1.054767e-12
126,31.500000,3,3.179030e-10,1.232869e-16,-6.002023e-21,2.678413e-14
127,31.750000,3,3.169394e-10,1.707454e-16,9.979107e-21,1.615819e-12
128,32.000000,3,3.159855e-10,1.399437e-16,-2.201624e-20,-8.887752e-13
129,32.250000,3,3.150413e-10,1.138507e-16,-8.814437e-21,-1.860540e-12
130,32.500000,3,3.141065e-10,1.366081e-16,5.962318e-21,-2.649381e-12
131,32.750000,3,3.131824e-10,1.138710e-16,-6.981404e-21,1.410205e-12
132,33.000000,3,3.122658e-10,1.138812e-16,-1.303637e-21,-3.943457e-12
133,33.250000,3,3.113598e-10,1.138914e-16,-2.338605e-20,4.973244e-13
134,33.500000,3,3.104623e-10,1.199422e-16,-4.446923e-21,-3.655604e-12
135,33.750000,3,3.095724e-10,1.139116e-16,3.161153e-20,1.679629e-12
136,34.000000,3,3.086922e-10,1.432605e-16,1.954131e-20,2.958772e-12
137,34.250000,3,3.078209e-10,1.166058e-16,-1.380399e-20,-2.625289e-12
138,34.500000,3,3.069580e-10,1.232673e-16,-1.359885e-20,-4.493350e-12
139,34.750000,3,3.061031e-10,1.139519e-16,4.566037e-21,-7.466250e-14
140,35.000000,3,3.052563e-10,1.139620e-16,-1.019748e-20,-8.044121e-13
141,35.250000,3,3.044174e-10,1.265937e-16,5.029258e-22,-3.665929e-12
142,35.500000,3,3.035860e-10,1.709718e-16,1.666273e-20,4.987399e-13
143,35.750000,3,3.027631e-10,1.465781e-16,1.753623e-21,1.974171e-12
144,36.000000,3,3.019482e-10,1.140002e-16,4.738091e-21,-6.444845e-13
145,36.250000,3,3.011396e-10,1.365804e-16,1.345988e-20,-8.219259e-13
146,36.500000,3,3.003393e-10,1.165914e-16,2.157287e-21,-2.077782e-13
147,36.750000,3,2.995457e-10,1.532323e-16,-8.913698e-21,2.376294e-12
148,37.000000,3,2.987588e-10,1.299125e-16,1.173935e-20,6.264989e-13
149,37.250000,3,2.979799e-10,1.140474e-16,-4.632211e-23,-9.427459e-13
150,37.500000,3,2.972076e-10,1.140568e-16,-1.815827e-20,1.846190e-12
151,37.750000,3,2.964424e-10,1.498927e-16,-1.388340e-20,4.659884e-13
152,38.000000,3,2.956839e-10,1.332361e-16,-1.525983e-20,2.288780e-12
153,38.250000,3,2.949321e-10,1.711275e-16,5.525566e-21,1.405431e-12
154,38.500000,3,2.941860e-10,1.711416e-16,2.997041e-20,1.160905e-12
155,38.750000,3,2.934475e-10,1.141037e-16,-2.408750e-21,4.041989e-12
156,39.000000,3,2.927147e-10,1.141131e-16,-2.541099e-21,6.581680e-13
157,39.250000,3,2.919887e-10,1.199039e-16,2.223461e-21,-5.655226e-12
158,39.500000,3,2.912683e-10,1.711976e-16,2.107656e-20,9.942325e-13
159,39.750000,3,2.905542e-10,1.141411e-16,3.070494e-21,1.860262e-12
160,40.000000,3,2.898464e-10,1.141504e-16,-1.156729e-20,2.027933e-12
161,40.250000,3,2.891438e-10,1.198970e-16,-8.026961e-21,1.695200e-12
162,40.500000,3,2.884484e-10,1.232257e-16,2.269784e-21,-3.211015e-12
163,40.750000,3,2.877569e-10,1.531973e-16,-1.349297e-20,-3.766154e-13
164,41.000000,3,2.870721e-10,1.141874e-16,1.809209e-20,1.114886e-12
165,41.250000,3,2.863931e-10,1.141967e-16,3.930762e-21,-4.344275e-12
166,41.500000,3,2.857190e-10,1.165580e-16,-7.715941e-21,3.917144e-13
167,41.750000,3,2.850511e-10,1.142150e-16,-3.202843e-21,-5.407896e-13
168,42.000000,3,2.843876e-10,1.142238e-16,-1.404222e-20,7.840950e-13
169,42.250000,3,2.837308e-10,1.232130e-16,1.320180e-20,-6.259715e-13
170,42.500000,3,2.830784e-10,1.198811e-16,-1.516718e-20,3.357870e-13
171,42.750000,3,2.824310e-10,1.165494e-16,4.546185e-21,-1.094569e-12
172,43.000000,3,2.817884e-10,1.232075e-16,1.217610e-21,2.470246e-13
173,43.250000,3,2.811515e-10,1.142675e-16,1.890604e-20,3.836320e-12
174,43.500000,3,2.805187e-10,1.232038e-16,-6.571123e-21,3.995859e-12
175,43.750000,3,2.798917e-10,1.142850e-16,-1.319519e-20,6.058487e-13
176,44.000000,3,2.792691e-10,1.142937e-16,3.262400e-21,3.721273e-12
177,44.250000,3,2.786509e-10,1.298576e-16,-6.154224e-22,2.302936e-12
178,44.500000,3,2.780385e-10,1.143111e-16,-1.450544e-20,-4.209411e-12
179,44.750000,3,2.774301e-10,1.143197e-16,-4.961098e-20,1.685513e-12
180,45.000000,3,2.768261e-10,1.143284e-16,1.038939e-20,-3.092138e-12
181,45.250000,3,2.762262e-10,1.143371e-16,7.821820e-21,-3.346934e-12
182,45.500000,3,2.756320e-10,1.298477e-16,2.871971e-21,-4.261036e-13
183,45.750000,3,2.750418e-10,1.143544e-16,-5.942466e-21,7.307183e-12
184,46.000000,3,2.744560e-10,1.715445e-16,2.983144e-20,3.573530e-13
185,46.250000,3,2.738738e-10,1.231831e-16,1.214963e-20,-1.243422e-12
186,46.500000,3,2.732974e-10,1.331689e-16,-3.527098e-21,-3.610168e-13
187,46.750000,3,2.727232e-10,1.143888e-16,3.950615e-21,-7.273349e-13
188,47.000000,3,2.721543e-10,1.143974e-16,9.198248e-22,1.467493e-12
189,47.250000,3,2.715894e-10,1.198464e-16,4.116712e-20,-2.467027e-12
190,47.500000,3,2.710281e-10,1.144146e-16,-4.188843e-21,2.693235e-12
191,47.750000,3,2.704708e-10,1.144232e-16,2.889838e-20,-2.629702e-12
192,48.000000,3,2.699183e-10,1.144317e-16,2.256549e-21,5.138667e-12
