step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
165,82.500000,3,2.133760e-11,5.349854e-11,2.999719e-16,-6.451347e-20,-1.132872e-12
166,83.000000,3,2.045653e-11,5.437828e-11,3.000329e-16,5.125873e-20,-2.047290e-11
167,83.500000,3,2.041034e-11,5.554268e-11,3.000938e-16,4.082964e-20,-5.525552e-11
168,84.000000,3,1.997691e-11,5.670531e-11,3.001547e-16,1.653038e-20,1.679379e-11
169,84.500000,3,1.916689e-11,5.786083e-11,3.002156e-16,3.398720e-20,-3.778200e-11
170,85.000000,3,1.960032e-11,5.900480e-11,3.405038e-16,3.469526e-20,5.155298e-11
171,85.500000,3,1.961098e-11,6.014478e-11,3.003356e-16,-3.249165e-21,-8.147094e-12
172,86.000000,3,1.994138e-11,6.128609e-11,3.003955e-16,9.172440e-20,4.890632e-11
173,86.500000,3,1.926281e-11,6.241230e-11,3.405231e-16,-5.491156e-20,1.292966e-11
174,87.000000,3,1.920242e-11,6.352430e-11,3.005150e-16,8.787967e-21,-3.477585e-11
175,87.500000,3,1.861622e-11,6.463230e-11,3.005740e-16,-4.642799e-20,-6.392958e-11
176,88.000000,3,1.855582e-11,6.574519e-11,3.405416e-16,9.260452e-20,-8.480050e-12
177,88.500000,3,1.844924e-11,6.718892e-11,3.006917e-16,7.356613e-20,-2.006624e-10
178,89.000000,3,1.818279e-11,6.938761e-11,3.007505e-16,-1.193125e-20,-1.131128e-10
179,89.500000,3,1.842793e-11,7.158230e-11,3.405592e-16,-1.295100e-19,-2.439632e-11
180,90.000000,3,1.816503e-11,7.376100e-11,3.405649e-16,9.892418e-20,-1.384703e-11
181,90.500000,3,1.722000e-11,7.592860e-11,3.009250e-16,6.561197e-20,-2.050532e-11
182,91.000000,3,1.751488e-11,7.808731e-11,3.009828e-16,1.035035e-19,-3.365486e-11
183,91.500000,3,1.709921e-11,8.022338e-11,3.405815e-16,1.018425e-20,5.763834e-12
184,92.000000,3,1.762857e-11,8.235634e-11,3.010983e-16,-1.792666e-20,-5.136502e-11
185,92.500000,3,1.711342e-11,8.447154e-11,3.011553e-16,1.799283e-20,2.972816e-11
186,93.000000,3,1.661604e-11,8.657297e-11,3.012122e-16,-7.537270e-21,1.358335e-10
187,93.500000,3,1.661604e-11,8.866463e-11,3.012690e-16,1.941558e-20,-2.815193e-11
188,94.000000,3,1.688960e-11,9.075452e-11,3.013258e-16,-1.871347e-19,6.480910e-11
189,94.500000,3,1.638512e-11,9.281376e-11,3.013826e-16,5.440201e-20,1.004514e-10
190,95.000000,3,1.592326e-11,9.487122e-11,3.014388e-16,9.077811e-20,-1.313467e-10
191,95.500000,3,1.501732e-11,9.692380e-11,3.014946e-16,1.373451e-19,-5.838663e-13
192,96.000000,3,1.545430e-11,9.895151e-11,3.406267e-16,-2.208241e-20,9.547613e-11
193,96.500000,4,7.887024e-13,5.995204e-14,3.406313e-16,-4.026715e-20,8.538475e-11
194,97.000000,4,1.037392e-12,5.728751e-14,3.016620e-16,-6.817292e-20,-2.638084e-11
195,97.500000,4,7.496226e-13,6.084022e-14,3.017176e-16,-9.531106e-20,-1.444744e-11
196,98.000000,4,6.501466e-13,6.528111e-14,3.017726e-16,-1.164009e-20,-4.361567e-12
197,98.500000,4,6.004086e-13,6.572520e-14,3.018275e-16,7.782777e-20,9.406548e-11
198,99.000000,4,8.206769e-13,6.128431e-14,3.406531e-16,5.493803e-20,-1.343414e-11
199,99.500000,4,5.080381e-13,5.817569e-14,3.406488e-16,3.114170e-20,-1.005092e-10
200,100.000000,4,1.492140e-12,6.616929e-14,3.774896e-16,-5.463363e-20,7.946377e-11
201,100.500000,4,1.023182e-12,6.084022e-14,3.020461e-16,5.050434e-20,7.285778e-11
202,101.000000,4,7.212009e-13,6.705747e-14,3.406608e-16,-7.459184e-20,-4.132761e-11
203,101.500000,4,9.450218e-13,6.483702e-14,3.021536e-16,-1.245403e-20,1.748501e-11
204,102.000000,4,6.288303e-13,7.016610e-14,3.022080e-16,2.234049e-20,6.808321e-11
205,102.500000,4,9.237056e-13,6.838974e-14,3.406803e-16,-3.036745e-20,-7.595741e-11
206,103.000000,4,1.062261e-12,6.439294e-14,3.406839e-16,8.134825e-20,3.655454e-11
207,103.500000,4,6.892265e-13,6.927792e-14,3.406874e-16,-9.920212e-20,3.589018e-12
208,104.000000,4,7.496226e-13,7.194245e-14,3.024215e-16,-2.110965e-21,5.072642e-11
209,104.500000,4,8.419931e-13,6.661338e-14,3.024745e-16,1.048865e-20,5.872697e-11
210,105.000000,4,7.851497e-13,6.927792e-14,3.406975e-16,1.762226e-20,-5.293593e-11
211,105.500000,4,7.425172e-13,6.483702e-14,3.025803e-16,-6.908612e-21,5.368450e-11
212,106.000000,4,7.283063e-13,6.927792e-14,3.026326e-16,2.973218e-20,-4.825251e-11
213,106.500000,4,7.460699e-13,7.327472e-14,3.026848e-16,-1.004396e-19,4.261447e-11
214,107.000000,4,5.293543e-13,7.149836e-14,3.407100e-16,1.842958e-20,-2.849215e-11
215,107.500000,4,6.608047e-13,7.283063e-14,3.784854e-16,-8.787967e-21,-3.376271e-11
216,108.000000,4,1.076472e-12,7.061018e-14,3.028411e-16,-1.999130e-20,1.663902e-11
217,108.500000,4,9.201528e-13,7.327472e-14,3.407185e-16,2.708520e-20,-5.246203e-11
218,109.000000,4,7.709389e-13,7.194245e-14,3.407212e-16,-4.895586e-20,-2.895167e-11
219,109.500000,4,7.105427e-13,7.771561e-14,3.029954e-16,1.252748e-19,-7.583334e-11
220,110.000000,4,9.308110e-13,7.149836e-14,3.030467e-16,2.874618e-20,-1.021335e-10
221,110.500000,4,7.673862e-13,7.549517e-14,3.030979e-16,-8.347245e-20,5.836792e-11
222,111.000000,4,6.323830e-13,7.505108e-14,3.031491e-16,-3.771282e-20,-4.429829e-11
223,111.500000,4,6.394885e-13,7.638334e-14,3.031987e-16,4.655372e-20,-4.800782e-11
224,112.000000,4,6.750156e-13,7.416290e-14,3.407281e-16,-8.053430e-21,-2.449291e-11
225,112.500000,4,7.673862e-13,7.638334e-14,3.033006e-16,-3.090347e-20,5.004530e-11
226,113.000000,4,6.110668e-13,7.771561e-14,3.033510e-16,-6.543991e-20,-1.675249e-11
227,113.500000,4,1.470823e-12,8.038015e-14,3.034013e-16,-4.829411e-20,5.809497e-11
228,114.000000,4,5.435652e-13,7.238654e-14,3.034515e-16,9.233321e-20,5.497408e-11
229,114.500000,4,9.521273e-13,7.682743e-14,3.407465e-16,3.128728e-20,5.551898e-11
230,115.000000,4,7.673862e-13,7.682743e-14,3.035497e-16,-1.597054e-19,6.405393e-11
231,115.500000,4,6.430412e-13,7.860379e-14,3.407502e-16,-5.873644e-20,-8.224532e-12
232,116.000000,4,7.815970e-13,7.682743e-14,3.407520e-16,-1.185184e-19,-1.201025e-10
233,116.500000,4,6.643575e-13,7.593925e-14,3.036994e-16,2.455072e-20,-4.081174e-11
234,117.000000,4,8.810730e-13,8.126833e-14,3.407553e-16,-3.183653e-20,5.304451e-11
235,117.500000,4,6.430412e-13,7.460699e-14,3.037975e-16,-1.601422e-20,-3.074907e-11
236,118.000000,4,6.394885e-13,7.682743e-14,3.038463e-16,-2.079863e-20,8.833873e-11
237,118.500000,4,5.790923e-13,8.126833e-14,3.038938e-16,-1.342878e-19,-9.895396e-11
238,119.000000,4,7.851497e-13,8.126833e-14,3.407612e-16,-3.176374e-21,-2.708733e-11
239,119.500000,4,7.638334e-13,8.126833e-14,3.039911e-16,3.123434e-20,5.449352e-11
240,120.000000,4,9.663381e-13,8.615331e-14,3.800494e-16,-5.845189e-20,-2.489042e-11
241,120.500000,4,1.065814e-12,7.815970e-14,3.040888e-16,-5.305867e-20,-9.480450e-11
242,121.000000,4,9.698908e-13,8.748557e-14,3.041368e-16,1.139656e-19,4.731215e-12
243,121.500000,4,7.602807e-13,8.704149e-14,3.407680e-16,-3.606507e-20,3.216261e-11
244,122.000000,4,1.012523e-12,8.526513e-14,3.407695e-16,3.932086e-20,-1.082057e-11
245,122.500000,4,1.154632e-12,7.904788e-14,3.042804e-16,7.575651e-20,1.068539e-10
246,123.000000,4,6.323830e-13,8.437695e-14,3.407726e-16,-1.674214e-20,2.514167e-11
247,123.500000,4,6.856737e-13,7.904788e-14,3.043755e-16,4.720223e-20,-1.298539e-11
248,124.000000,4,5.080381e-13,8.171241e-14,3.044227e-16,1.266844e-19,-4.148915e-11
249,124.500000,4,1.108447e-12,9.015011e-14,3.044700e-16,2.428602e-20,1.106892e-12
250,125.000000,4,7.673862e-13,8.748557e-14,3.407785e-16,-9.508607e-20,1.722977e-11
251,125.500000,4,8.384404e-13,8.082424e-14,3.407799e-16,-6.819939e-20,-6.369327e-11
252,126.000000,4,8.277823e-13,8.437695e-14,3.407814e-16,9.992342e-22,2.867384e-11
253,126.500000,4,8.064660e-13,8.437695e-14,3.046583e-16,9.226703e-20,5.850642e-11
254,127.000000,4,7.531753e-13,8.970602e-14,3.047049e-16,-2.028909e-20,-1.103573e-10
255,127.500000,4,9.201528e-13,7.815970e-14,3.407780e-16,3.200858e-20,3.411482e-11
256,128.000000,4,9.201528e-13,8.038015e-14,3.047982e-16,5.889526e-22,6.845047e-11
257,128.500000,4,6.252776e-13,8.304468e-14,3.048433e-16,2.547716e-20,8.690793e-11
258,129.000000,4,6.572520e-13,8.482104e-14,3.407894e-16,2.189713e-20,8.780565e-11
259,129.500000,4,8.419931e-13,8.748557e-14,3.049375e-16,9.754114e-21,1.399489e-10
260,130.000000,4,9.059420e-13,8.082424e-14,3.407919e-16,-1.837863e-19,-2.856049e-12
261,130.500000,4,7.247536e-13,8.704149e-14,3.050296e-16,-7.281175e-20,7.229062e-11
262,131.000000,4,7.212009e-13,8.171241e-14,3.050756e-16,-2.335958e-21,-2.260792e-11
