record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,480,0.13333333,1.9661,0.8000,0,28.1215,2.5500
sample_fixed,480,0.13333333,1.9661,0.9000,0,28.1542,2.5500
sample_fixed,480,0.13333333,1.9661,1.0000,0,28.1954,2.5500
sample_fixed,480,0.13333333,1.9661,1.1000,0,28.2469,2.5500
sample_fixed,480,0.13333333,1.9661,1.2000,0,28.3107,2.5500
sample_fixed,480,0.13333333,1.9661,1.3000,0,28.3891,2.5500
sample_fixed,480,0.13333333,1.9661,1.4000,0,28.4845,2.5500
sample_fixed,480,0.13333333,1.9661,1.5000,0,28.5996,2.5500
sample_fixed,480,0.13333333,1.9661,1.6000,0,28.7370,2.5499
sample_fixed,480,0.13333333,1.9661,1.7000,0,28.8994,2.5458
sample_fixed,480,0.13333333,1.9661,1.8000,0,29.0893,2.4862
sample_fixed,480,0.13333333,1.9661,1.9000,0,29.3106,2.1207
sample_surface,480,0.13333333,1.9661,1.9661,1,29.4797,1.5188
sample_fixed,540,0.15000000,1.9619,0.0000,0,28.0551,2.5500
sample_fixed,540,0.15000000,1.9619,0.1000,0,28.0566,2.5500
sample_fixed,540,0.15000000,1.9619,0.2000,0,28.0611,2.5500
sample_fixed,540,0.15000000,1.9619,0.3000,0,28.0690,2.5500
sample_fixed,540,0.15000000,1.9619,0.4000,0,28.0806,2.5500
sample_fixed,540,0.15000000,1.9619,0.5000,0,28.0964,2.5500
sample_fixed,540,0.15000000,1.9619,0.6000,0,28.1173,2.5500
sample_fixed,540,0.15000000,1.9619,0.7000,0,28.1442,2.5500
sample_fixed,540,0.15000000,1.9619,0.8000,0,28.1781,2.5500
sample_fixed,540,0.15000000,1.9619,0.9000,0,28.2205,2.5500
sample_fixed,540,0.15000000,1.9619,1.0000,0,28.2730,2.5500
sample_fixed,540,0.15000000,1.9619,1.1000,0,28.3371,2.5500
sample_fixed,540,0.15000000,1.9619,1.2000,0,28.4149,2.5500
sample_fixed,540,0.15000000,1.9619,1.3000,0,28.5086,2.5500
sample_fixed,540,0.15000000,1.9619,1.4000,0,28.6203,2.5500
sample_fixed,540,0.15000000,1.9619,1.5000,0,28.7526,2.5500
sample_fixed,540,0.15000000,1.9619,1.6000,0,28.9083,2.5497
sample_fixed,540,0.15000000,1.9619,1.7000,0,29.0904,2.5420
sample_fixed,540,0.15000000,1.9619,1.8000,0,29.3028,2.4593
sample_fixed,540,0.15000000,1.9619,1.9000,0,29.5524,2.0467
sample_surface,540,0.15000000,1.9619,1.9619,1,29.7326,1.4811
sample_fixed,600,0.16666667,1.9577,0.0000,0,28.0880,2.5500
sample_fixed,600,0.16666667,1.9577,0.1000,0,28.0900,2.5500
sample_fixed,600,0.16666667,1.9577,0.2000,0,28.0962,2.5500
sample_fixed,600,0.16666667,1.9577,0.3000,0,28.1067,2.5500
sample_fixed,600,0.16666667,1.9577,0.4000,0,28.1221,2.5500
sample_fixed,600,0.16666667,1.9577,0.5000,0,28.1429,2.5500
sample_fixed,600,0.16666667,1.9577,0.6000,0,28.1699,2.5500
sample_fixed,600,0.16666667,1.9577,0.7000,0,28.2041,2.5500
sample_fixed,600,0.16666667,1.9577,0.8000,0,28.2467,2.5500
sample_fixed,600,0.16666667,1.9577,0.9000,0,28.2991,2.5500
sample_fixed,600,0.16666667,1.9577,1.0000,0,28.3628,2.5500
sample_fixed,600,0.16666667,1.9577,1.1000,0,28.4395,2.5500
sample_fixed,600,0.16666667,1.9577,1.2000,0,28.5314,2.5500
sample_fixed,600,0.16666667,1.9577,1.3000,0,28.6404,2.5500
sample_fixed,600,0.16666667,1.9577,1.4000,0,28.7692,2.5500
sample_fixed,600,0.16666667,1.9577,1.5000,0,28.9202,2.5500
sample_fixed,600,0.16666667,1.9577,1.6000,0,29.0964,2.5492
sample_fixed,600,0.16666667,1.9577,1.7000,0,29.3008,2.5364
sample_fixed,600,0.16666667,1.9577,1.8000,0,29.5369,2.4285
sample_fixed,600,0.16666667,1.9577,1.9000,0,29.8115,1.9743
sample_surface,600,0.16666667,1.9577,1.9577,1,29.9936,1.4475
sample_fixed,660,0.18333333,1.9534,0.0000,0,28.1312,2.5500
sample_fixed,660,0.18333333,1.9534,0.1000,0,28.1338,2.5500
sample_fixed,660,0.18333333,1.9534,0.2000,0,28.1416,2.5500
sample_fixed,660,0.18333333,1.9534,0.3000,0,28.1550,2.5500
sample_fixed,660,0.18333333,1.9534,0.4000,0,28.1744,2.5500
sample_fixed,660,0.18333333,1.9534,0.5000,0,28.2003,2.5500
sample_fixed,660,0.18333333,1.9534,0.6000,0,28.2338,2.5500
sample_fixed,660,0.18333333,1.9534,0.7000,0,28.2756,2.5500
sample_fixed,660,0.18333333,1.9534,0.8000,0,28.3272,2.5500
sample_fixed,660,0.18333333,1.9534,0.9000,0,28.3898,2.5500
sample_fixed,660,0.18333333,1.9534,1.0000,0,28.4650,2.5500
sample_fixed,660,0.18333333,1.9534,1.1000,0,28.5548,2.5500
sample_fixed,660,0.18333333,1.9534,1.2000,0,28.6610,2.5500
sample_fixed,660,0.18333333,1.9534,1.3000,0,28.7860,2.5500
sample_fixed,660,0.18333333,1.9534,1.4000,0,28.9321,2.5500
sample_fixed,660,0.18333333,1.9534,1.5000,0,29.1023,2.5499
sample_fixed,660,0.18333333,1.9534,1.6000,0,29.2995,2.5484
sample_fixed,660,0.18333333,1.9534,1.7000,0,29.5275,2.5288
sample_fixed,660,0.18333333,1.9534,1.8000,0,29.7910,2.3946
sample_fixed,660,0.18333333,1.9534,1.9000,0,30.0990,1.9038
sample_surface,660,0.18333333,1.9534,1.9534,1,30.2890,1.4174
sample_fixed,720,0.20000000,1.9492,0.0000,0,28.1853,2.5500
sample_fixed,720,0.20000000,1.9492,0.1000,0,28.1884,2.5500
sample_fixed,720,0.20000000,1.9492,0.2000,0,28.1980,2.5500
sample_fixed,720,0.20000000,1.9492,0.3000,0,28.2144,2.5500
